# timestamp,positive_sequence_voltage,distribution_load_real,distribution_load_reac
8/1/2021 0:00,199186,1891540,810273
8/1/2021 0:05,199186,1811890,854621
8/1/2021 0:10,199186,1630860,849477
8/1/2021 0:15,199186,1292720,840813
8/1/2021 0:20,199186,1205350,838620
8/1/2021 0:25,199186,1158860,837594
8/1/2021 0:30,199186,1174310,837935
8/1/2021 0:35,199186,1168610,837974
8/1/2021 0:40,199186,1189420,838649
8/1/2021 0:45,199186,1182130,838503
8/1/2021 0:50,199186,1172390,838060
8/1/2021 0:55,199186,1168950,837819
8/1/2021 1:00,199186,1157190,837659
8/1/2021 1:05,199186,1138250,837356
8/1/2021 1:10,199186,1168310,838008
8/1/2021 1:15,199186,1146060,837474
8/1/2021 1:20,199186,1179630,837957
8/1/2021 1:25,199186,1175800,838027
8/1/2021 1:30,199186,1139620,837502
8/1/2021 1:35,199186,1128510,836863
8/1/2021 1:40,199186,1139470,837402
8/1/2021 1:45,199186,1145870,837739
8/1/2021 1:50,199186,1149640,838022
8/1/2021 1:55,199186,1137650,837900
8/1/2021 2:00,199186,1148670,837665
8/1/2021 2:05,199186,1148600,837669
8/1/2021 2:10,199186,1155680,837958
8/1/2021 2:15,199186,1137640,837313
8/1/2021 2:20,199186,1125740,837428
8/1/2021 2:25,199186,1158490,838161
8/1/2021 2:30,199186,1168910,838101
8/1/2021 2:35,199186,1175640,838635
8/1/2021 2:40,199186,1141530,837586
8/1/2021 2:45,199186,1161990,838164
8/1/2021 2:50,199186,1116170,837153
8/1/2021 2:55,199186,1118430,837704
8/1/2021 3:00,199186,1130300,838210
8/1/2021 3:05,199186,1116380,837535
8/1/2021 3:10,199186,1114510,837034
8/1/2021 3:15,199186,1166610,838042
8/1/2021 3:20,199186,1156380,837633
8/1/2021 3:25,199186,1203320,838443
8/1/2021 3:30,199186,1181480,837946
8/1/2021 3:35,199186,1151500,837791
8/1/2021 3:40,199186,1116500,836912
8/1/2021 3:45,199186,1109770,836788
8/1/2021 3:50,199186,1123150,837418
8/1/2021 3:55,199186,1150040,837531
8/1/2021 4:00,199186,1141730,837439
8/1/2021 4:05,199186,1178810,838191
8/1/2021 4:10,199186,1188810,838742
8/1/2021 4:15,199186,1146780,838069
8/1/2021 4:20,199186,1147290,837805
8/1/2021 4:25,199186,1160430,837808
8/1/2021 4:30,199186,1192760,838061
8/1/2021 4:35,199186,1194430,838767
8/1/2021 4:40,199186,1179650,838416
8/1/2021 4:45,199186,1177580,838078
8/1/2021 4:50,199186,1187130,838253
8/1/2021 4:55,199186,1193510,838254
8/1/2021 5:00,199186,1218190,838904
8/1/2021 5:05,199186,1218600,839741
8/1/2021 5:10,199186,1194470,839409
8/1/2021 5:15,199186,1173560,838854
8/1/2021 5:20,199186,1142060,837598
8/1/2021 5:25,199186,1171490,838335
8/1/2021 5:30,199186,1201610,838842
8/1/2021 5:35,199186,1230000,839697
8/1/2021 5:40,199186,1232820,840164
8/1/2021 5:45,199186,1183920,838765
8/1/2021 5:50,199186,1218840,838947
8/1/2021 5:55,199186,1218940,839472
8/1/2021 6:00,199186,1206260,838872
8/1/2021 6:05,199186,1265680,839898
8/1/2021 6:10,199186,1252520,840097
8/1/2021 6:15,199186,1226910,839250
8/1/2021 6:20,199186,1204610,838677
8/1/2021 6:25,199186,1210330,838696
8/1/2021 6:30,199186,1225190,839272
8/1/2021 6:35,199186,1203560,838908
