# file...... outputs/Substation_output.csv
# date...... Mon Jun 15 17:10:03 2026
# user...... jacob
# host...... (null)
# target.... substation 9572
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-06 00:00:00 CDT,+199186+0i,+1.78551e+06+806606j,+585375+434791j,+556580+293425j,+643552+78389.6j
2021-08-06 00:05:00 CDT,+199186+0i,+1.69313e+06+839027j,+568009+457130j,+507952+305527j,+617173+76370.9j
2021-08-06 00:10:00 CDT,+199186+0i,+1.71226e+06+851738j,+584614+467243j,+505275+308394j,+622366+76101.6j
2021-08-06 00:15:00 CDT,+199186+0i,+1.44421e+06+844735j,+468601+464884j,+451775+307243j,+523839+72609.1j
2021-08-06 00:20:00 CDT,+199186+0i,+1.27914e+06+841041j,+431218+464268j,+384604+306146j,+463317+70626.9j
2021-08-06 00:25:00 CDT,+199186+0i,+1.26351e+06+840346j,+429526+464237j,+379330+306017j,+454656+70091.7j
2021-08-06 00:30:00 CDT,+199186+0i,+1.2314e+06+839701j,+419235+464143j,+368722+305850j,+443443+69707.7j
2021-08-06 00:35:00 CDT,+199186+0i,+1.26392e+06+840294j,+421656+464098j,+388345+306178j,+453919+70018j
2021-08-06 00:40:00 CDT,+199186+0i,+1.27263e+06+840731j,+427855+464212j,+373264+306024j,+471511+70495j
2021-08-06 00:45:00 CDT,+199186+0i,+1.26626e+06+840936j,+424068+464099j,+370468+306026j,+471726+70811j
2021-08-06 00:50:00 CDT,+199186+0i,+1.24727e+06+840428j,+402986+463846j,+379952+306126j,+464328+70455.7j
2021-08-06 00:55:00 CDT,+199186+0i,+1.25716e+06+840750j,+406416+463902j,+375592+305871j,+475150+70977.6j
2021-08-06 01:00:00 CDT,+199186+0i,+1.22053e+06+839558j,+411984+464001j,+367540+305906j,+441009+69651.5j
2021-08-06 01:05:00 CDT,+199186+0i,+1.25396e+06+840366j,+427304+464301j,+368033+305860j,+458623+70205.9j
2021-08-06 01:10:00 CDT,+199186+0i,+1.20703e+06+839371j,+413519+464061j,+360448+305658j,+433062+69651.3j
2021-08-06 01:15:00 CDT,+199186+0i,+1.22636e+06+840092j,+405942+463898j,+363219+305746j,+457200+70447.9j
2021-08-06 01:20:00 CDT,+199186+0i,+1.26521e+06+840592j,+413467+463835j,+392601+306593j,+459139+70164.4j
2021-08-06 01:25:00 CDT,+199186+0i,+1.2526e+06+840280j,+409478+463894j,+369406+305943j,+473713+70442.5j
2021-08-06 01:30:00 CDT,+199186+0i,+1.18529e+06+838946j,+381593+463558j,+360591+305736j,+443111+69652.5j
2021-08-06 01:35:00 CDT,+199186+0i,+1.21328e+06+839895j,+394258+463705j,+371574+306056j,+447449+70133j
2021-08-06 01:40:00 CDT,+199186+0i,+1.26652e+06+840138j,+428878+464168j,+395343+306454j,+442301+69515.7j
2021-08-06 01:45:00 CDT,+199186+0i,+1.24008e+06+839825j,+414837+464040j,+390865+306496j,+434374+69289.8j
2021-08-06 01:50:00 CDT,+199186+0i,+1.24061e+06+840175j,+413763+464032j,+362487+305734j,+464358+70408.8j
2021-08-06 01:55:00 CDT,+199186+0i,+1.25369e+06+840171j,+422101+464104j,+386533+306191j,+445060+69876j
2021-08-06 02:00:00 CDT,+199186+0i,+1.22516e+06+839487j,+402991+463842j,+390117+306275j,+432057+69370.2j
2021-08-06 02:05:00 CDT,+199186+0i,+1.20662e+06+838974j,+408076+463948j,+375458+306116j,+423089+68910.8j
2021-08-06 02:10:00 CDT,+199186+0i,+1.15719e+06+837988j,+397987+463774j,+349838+305593j,+409369+68621.2j
2021-08-06 02:15:00 CDT,+199186+0i,+1.13222e+06+837394j,+390482+463641j,+348623+305487j,+393117+68265.9j
2021-08-06 02:20:00 CDT,+199186+0i,+1.15304e+06+837538j,+403321+463799j,+360903+305699j,+388814+68040.4j
2021-08-06 02:25:00 CDT,+199186+0i,+1.14792e+06+837505j,+405479+463789j,+357028+305671j,+385414+68044.7j
2021-08-06 02:30:00 CDT,+199186+0i,+1.16009e+06+838350j,+397972+463763j,+356059+305615j,+406062+68971.8j
2021-08-06 02:35:00 CDT,+199186+0i,+1.1718e+06+838644j,+395024+463709j,+354153+305761j,+422622+69173.6j
2021-08-06 02:40:00 CDT,+199186+0i,+1.16697e+06+838620j,+396362+463712j,+356952+305955j,+413654+68953j
2021-08-06 02:45:00 CDT,+199186+0i,+1.16364e+06+838421j,+401349+463759j,+353177+305773j,+409118+68888.7j
2021-08-06 02:50:00 CDT,+199186+0i,+1.11607e+06+837530j,+385608+463582j,+335687+305443j,+394772+68505j
2021-08-06 02:55:00 CDT,+199186+0i,+1.13428e+06+837639j,+379359+463504j,+350467+305544j,+404457+68590.1j
2021-08-06 03:00:00 CDT,+199186+0i,+1.11157e+06+837281j,+373733+463421j,+339417+305429j,+398420+68430.9j
2021-08-06 03:05:00 CDT,+199186+0i,+1.16945e+06+838322j,+392878+463706j,+356920+305668j,+419650+68947.5j
2021-08-06 03:10:00 CDT,+199186+0i,+1.15915e+06+838098j,+395423+463797j,+365096+305773j,+398637+68528.2j
2021-08-06 03:15:00 CDT,+199186+0i,+1.12373e+06+837700j,+375054+463513j,+347926+305542j,+400747+68644.9j
2021-08-06 03:20:00 CDT,+199186+0i,+1.14864e+06+838312j,+400036+463965j,+343982+305283j,+404622+69064.4j
2021-08-06 03:25:00 CDT,+199186+0i,+1.10834e+06+838291j,+366311+463470j,+322738+305165j,+419292+69656.4j
2021-08-06 03:30:00 CDT,+199186+0i,+1.11765e+06+838353j,+376417+463613j,+312702+305028j,+428530+69712.2j
2021-08-06 03:35:00 CDT,+199186+0i,+1.13455e+06+838433j,+386408+463653j,+335040+305515j,+413099+69264.9j
2021-08-06 03:40:00 CDT,+199186+0i,+1.15299e+06+838912j,+393488+463697j,+339151+305528j,+420347+69686.8j
2021-08-06 03:45:00 CDT,+199186+0i,+1.17949e+06+838985j,+385461+463599j,+363165+305653j,+430859+69733j
2021-08-06 03:50:00 CDT,+199186+0i,+1.16597e+06+838990j,+365656+463367j,+359525+305656j,+440793+69966.3j
2021-08-06 03:55:00 CDT,+199186+0i,+1.09991e+06+837089j,+369942+463461j,+338512+305459j,+391456+68169.1j
2021-08-06 04:00:00 CDT,+199186+0i,+1.13343e+06+837742j,+383386+463550j,+359453+305994j,+390593+68197.9j
2021-08-06 04:05:00 CDT,+199186+0i,+1.15123e+06+838456j,+385599+463606j,+364273+306031j,+401353+68818.8j
2021-08-06 04:10:00 CDT,+199186+0i,+1.1312e+06+837936j,+393275+463711j,+360744+305991j,+377183+68234.6j
2021-08-06 04:15:00 CDT,+199186+0i,+1.11057e+06+837142j,+406854+463914j,+339564+305491j,+364157+67737.2j
2021-08-06 04:20:00 CDT,+199186+0i,+1.09361e+06+837147j,+392847+463726j,+329795+305599j,+370967+67822.6j
2021-08-06 04:25:00 CDT,+199186+0i,+1.13571e+06+837880j,+382490+463572j,+341786+305387j,+411430+68921j
2021-08-06 04:30:00 CDT,+199186+0i,+1.11222e+06+837288j,+374868+463554j,+332741+305157j,+404611+68575.7j
2021-08-06 04:35:00 CDT,+199186+0i,+1.07151e+06+837055j,+359728+463422j,+311705+304903j,+400078+68730.4j
2021-08-06 04:40:00 CDT,+199186+0i,+1.05181e+06+836457j,+371579+463468j,+307932+304928j,+372301+68060.9j
2021-08-06 04:45:00 CDT,+199186+0i,+1.05173e+06+836712j,+374470+463563j,+298499+304799j,+378760+68349.2j
2021-08-06 04:50:00 CDT,+199186+0i,+1.07974e+06+837239j,+374831+463561j,+312732+304960j,+392177+68718.6j
