# file...... outputs/Substation_output_60.csv
# date...... Thu Jun 11 14:49:37 2026
# user...... mukh915
# host...... (null)
# target.... substation 9146
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-01 00:00:00 CDT,+199186+0i,+1.83133e+06+808935j,+616916+435395j,+547736+292866j,+666682+80674.4j
2021-08-01 00:05:00 CDT,+199186+0i,+1.75474e+06+853547j,+571188+466634j,+528877+308665j,+654678+78248.7j
2021-08-01 00:10:00 CDT,+199186+0i,+1.53339e+06+847355j,+495912+465280j,+454661+307055j,+582816+75020.4j
2021-08-01 00:15:00 CDT,+199186+0i,+1.22022e+06+839518j,+431238+464355j,+342152+305127j,+446830+70036.4j
2021-08-01 00:20:00 CDT,+199186+0i,+1.097e+06+836839j,+384477+463572j,+329040+305197j,+383482+68069.9j
2021-08-01 00:25:00 CDT,+199186+0i,+1.11086e+06+837663j,+381007+463502j,+327963+305040j,+401891+69121.1j
2021-08-01 00:30:00 CDT,+199186+0i,+1.10221e+06+837422j,+365505+463275j,+329090+305094j,+407619+69052.7j
2021-08-01 00:35:00 CDT,+199186+0i,+1.13195e+06+839574j,+394422+465315j,+328612+305117j,+408915+69141.2j
2021-08-01 00:40:00 CDT,+199186+0i,+1.13198e+06+839054j,+404382+465428j,+334535+305561j,+393066+68065.5j
2021-08-01 00:45:00 CDT,+199186+0i,+1.10639e+06+838679j,+393248+465212j,+337567+305629j,+375572+67837.2j
2021-08-01 00:50:00 CDT,+199186+0i,+1.07169e+06+838102j,+365881+464890j,+323489+305176j,+382319+68035.6j
2021-08-01 00:55:00 CDT,+199186+0i,+1.08661e+06+838737j,+367094+464973j,+318141+304925j,+401379+68839.6j
2021-08-01 01:00:00 CDT,+199186+0i,+1.0899e+06+838611j,+376541+465051j,+324949+305258j,+388407+68301.7j
2021-08-01 01:05:00 CDT,+199186+0i,+1.09602e+06+838680j,+392351+465360j,+313095+304926j,+390577+68393.9j
2021-08-01 01:10:00 CDT,+199186+0i,+1.08413e+06+837016j,+386824+463701j,+304557+304699j,+392752+68616.4j
2021-08-01 01:15:00 CDT,+199186+0i,+1.08837e+06+837023j,+362538+463274j,+322102+304956j,+403734+68793j
2021-08-01 01:20:00 CDT,+199186+0i,+1.07374e+06+836560j,+364556+463222j,+322462+305035j,+386721+68304j
2021-08-01 01:25:00 CDT,+199186+0i,+1.08604e+06+837027j,+356228+463133j,+322573+305098j,+407240+68796.2j
2021-08-01 01:30:00 CDT,+199186+0i,+1.06196e+06+836625j,+349087+463089j,+315374+304938j,+397501+68598.6j
2021-08-01 01:35:00 CDT,+199186+0i,+1.09274e+06+837048j,+360286+463216j,+329904+305134j,+402549+68698.1j
2021-08-01 01:40:00 CDT,+199186+0i,+1.07623e+06+836421j,+368076+463306j,+335067+305347j,+373085+67767.9j
2021-08-01 01:45:00 CDT,+199186+0i,+1.05425e+06+836058j,+372779+463355j,+320818+305115j,+360655+67587.6j
2021-08-01 01:50:00 CDT,+199186+0i,+1.0239e+06+835559j,+344875+462955j,+323249+305079j,+355776+67524.3j
2021-08-01 01:55:00 CDT,+199186+0i,+1.05255e+06+836393j,+366533+463230j,+317100+304978j,+368917+68184.8j
