# file...... outputs/Substation_output_R4_12_47_1.csv
# date...... Sun Nov 02 12:28:57 2025
# user...... mukh915
# host...... (null)
# target.... substation 8960
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-01 00:00:00 CDT,+199186+0i,+1.89154e+06+810273j,+636941+436360j,+615839+295328j,+638760+78585.4j
2021-08-01 00:05:00 CDT,+199186+0i,+1.81189e+06+854621j,+616968+468133j,+581427+310871j,+613499+75616.6j
2021-08-01 00:10:00 CDT,+199186+0i,+1.63086e+06+849477j,+532953+466060j,+543683+310231j,+554223+73185j
2021-08-01 00:15:00 CDT,+199186+0i,+1.29272e+06+840813j,+441409+464655j,+413798+306810j,+437510+69347.8j
2021-08-01 00:20:00 CDT,+199186+0i,+1.20535e+06+838620j,+414915+464180j,+387093+306284j,+403338+68156.9j
2021-08-01 00:25:00 CDT,+199186+0i,+1.15886e+06+837594j,+403565+463896j,+362678+305797j,+392618+67901.9j
2021-08-01 00:30:00 CDT,+199186+0i,+1.17431e+06+837935j,+405681+463965j,+363793+305700j,+404833+68270.6j
2021-08-01 00:35:00 CDT,+199186+0i,+1.16861e+06+837974j,+401989+463922j,+364659+305843j,+401963+68209.5j
2021-08-01 00:40:00 CDT,+199186+0i,+1.18942e+06+838649j,+415333+464179j,+359391+305939j,+414692+68531.3j
2021-08-01 00:45:00 CDT,+199186+0i,+1.18213e+06+838503j,+402307+463958j,+376762+306189j,+403059+68356j
2021-08-01 00:50:00 CDT,+199186+0i,+1.17239e+06+838060j,+409982+464181j,+359844+305827j,+402565+68051.1j
2021-08-01 00:55:00 CDT,+199186+0i,+1.16895e+06+837819j,+407528+464054j,+358781+305449j,+402639+68316.5j
2021-08-01 01:00:00 CDT,+199186+0i,+1.15719e+06+837659j,+406288+464031j,+350804+305419j,+400095+68209.4j
2021-08-01 01:05:00 CDT,+199186+0i,+1.13825e+06+837356j,+393745+463852j,+346506+305361j,+398000+68142.5j
2021-08-01 01:10:00 CDT,+199186+0i,+1.16831e+06+838008j,+401956+464013j,+355851+305383j,+410505+68612.1j
2021-08-01 01:15:00 CDT,+199186+0i,+1.14606e+06+837474j,+387363+463714j,+356999+305477j,+401703+68282.9j
2021-08-01 01:20:00 CDT,+199186+0i,+1.17963e+06+837957j,+406996+464019j,+369652+305684j,+402980+68254.7j
2021-08-01 01:25:00 CDT,+199186+0i,+1.1758e+06+838027j,+394639+463824j,+373857+305883j,+407301+68320.6j
2021-08-01 01:30:00 CDT,+199186+0i,+1.13962e+06+837502j,+386312+463716j,+348228+305285j,+405078+68500.5j
2021-08-01 01:35:00 CDT,+199186+0i,+1.12851e+06+836863j,+390782+463686j,+363827+305734j,+373904+67443j
2021-08-01 01:40:00 CDT,+199186+0i,+1.13947e+06+837402j,+402565+463927j,+354409+305599j,+382497+67875.4j
2021-08-01 01:45:00 CDT,+199186+0i,+1.14587e+06+837739j,+386688+463671j,+364243+305773j,+394935+68294.9j
2021-08-01 01:50:00 CDT,+199186+0i,+1.14964e+06+838022j,+390033+463784j,+367476+305889j,+392130+68348.6j
2021-08-01 01:55:00 CDT,+199186+0i,+1.13765e+06+837900j,+370784+463501j,+374051+306146j,+392814+68252.8j
2021-08-01 02:00:00 CDT,+199186+0i,+1.14867e+06+837665j,+380459+463668j,+369946+305691j,+398265+68306.1j
2021-08-01 02:05:00 CDT,+199186+0i,+1.1486e+06+837669j,+395646+463863j,+368258+305938j,+384692+67868.1j
2021-08-01 02:10:00 CDT,+199186+0i,+1.15568e+06+837958j,+395437+463912j,+362603+305677j,+397641+68369.4j
2021-08-01 02:15:00 CDT,+199186+0i,+1.13764e+06+837313j,+411068+464072j,+349790+305714j,+376777+67527.5j
2021-08-01 02:20:00 CDT,+199186+0i,+1.12574e+06+837428j,+379093+463580j,+349833+305707j,+396817+68140.3j
2021-08-01 02:25:00 CDT,+199186+0i,+1.15849e+06+838161j,+379863+463567j,+360471+306011j,+418155+68583.2j
2021-08-01 02:30:00 CDT,+199186+0i,+1.16891e+06+838101j,+401413+463907j,+365074+305780j,+402427+68414.4j
2021-08-01 02:35:00 CDT,+199186+0i,+1.17564e+06+838635j,+397660+463925j,+366171+305977j,+411809+68732.2j
2021-08-01 02:40:00 CDT,+199186+0i,+1.14153e+06+837586j,+388899+463785j,+359278+305672j,+393354+68128.4j
2021-08-01 02:45:00 CDT,+199186+0i,+1.16199e+06+838164j,+381502+463616j,+370261+305912j,+410224+68635.5j
2021-08-01 02:50:00 CDT,+199186+0i,+1.11617e+06+837153j,+366689+463491j,+345615+305452j,+403862+68210.5j
2021-08-01 02:55:00 CDT,+199186+0i,+1.11843e+06+837704j,+369306+463588j,+335124+305405j,+414001+68711.2j
2021-08-01 03:00:00 CDT,+199186+0i,+1.1303e+06+838210j,+358711+463349j,+364567+306101j,+407017+68759.9j
2021-08-01 03:05:00 CDT,+199186+0i,+1.11638e+06+837535j,+368255+463486j,+346191+305714j,+401931+68335j
2021-08-01 03:10:00 CDT,+199186+0i,+1.11451e+06+837034j,+379717+463571j,+355476+305704j,+379318+67758.5j
2021-08-01 03:15:00 CDT,+199186+0i,+1.16661e+06+838042j,+392983+463770j,+377515+305996j,+396116+68275.3j
2021-08-01 03:20:00 CDT,+199186+0i,+1.15638e+06+837633j,+393852+463829j,+375101+305938j,+387429+67866.8j
2021-08-01 03:25:00 CDT,+199186+0i,+1.20332e+06+838443j,+411878+464097j,+390446+306102j,+400995+68244.5j
2021-08-01 03:30:00 CDT,+199186+0i,+1.18148e+06+837946j,+434936+464498j,+362561+305504j,+383981+67944.2j
2021-08-01 03:35:00 CDT,+199186+0i,+1.1515e+06+837791j,+395472+463829j,+368739+305890j,+387289+68071.1j
2021-08-01 03:40:00 CDT,+199186+0i,+1.1165e+06+836912j,+389827+463774j,+354355+305587j,+372319+67550.7j
2021-08-01 03:45:00 CDT,+199186+0i,+1.10977e+06+836788j,+378684+463519j,+353510+305432j,+377577+67838.2j
2021-08-01 03:50:00 CDT,+199186+0i,+1.12315e+06+837418j,+374897+463602j,+340258+305163j,+407997+68652.8j
2021-08-01 03:55:00 CDT,+199186+0i,+1.15004e+06+837531j,+393508+463767j,+359994+305795j,+396540+67969.1j
2021-08-01 04:00:00 CDT,+199186+0i,+1.14173e+06+837439j,+378078+463506j,+385670+306374j,+377985+67559.7j
2021-08-01 04:05:00 CDT,+199186+0i,+1.17881e+06+838191j,+384253+463646j,+385730+306012j,+408828+68533.3j
2021-08-01 04:10:00 CDT,+199186+0i,+1.18881e+06+838742j,+384578+463761j,+358031+305421j,+446198+69560.4j
2021-08-01 04:15:00 CDT,+199186+0i,+1.14678e+06+838069j,+369463+463619j,+340010+305073j,+437310+69376.9j
2021-08-01 04:20:00 CDT,+199186+0i,+1.14729e+06+837805j,+369404+463573j,+366266+305638j,+411616+68592.8j
2021-08-01 04:25:00 CDT,+199186+0i,+1.16043e+06+837808j,+392247+463772j,+367787+305785j,+400398+68250.6j
2021-08-01 04:30:00 CDT,+199186+0i,+1.19276e+06+838061j,+410233+464041j,+378593+305708j,+403933+68311.6j
